subject,word,recall,wordposition,valencemean,valencesd,arousalmean,arousalsd
16,plaga,1,E,2.3,1.17,7,1.52
16,respiraci�n,1,Em1,NaN,NaN,NaN,NaN
16,asfixia,0,E,1.3,0.57,8,1.21
16,reflectante,0,Em1,NaN,NaN,NaN,NaN
16,cancer,0,E,1.23,0.73,7.8,1.24
16,declaraci�n,0,Em1,NaN,NaN,NaN,NaN
16,violacion,1,E,1.18,0.5,8.13,1.11
16,visado,0,Em1,NaN,NaN,NaN,NaN
16,nazi,1,E,1.6,0.88,7.95,1.28
17,nariz,0,Em1,NaN,NaN,NaN,NaN
17,asfixia,1,E,1.3,0.57,8,1.21
17,visado,1,Em1,NaN,NaN,NaN,NaN
17,nazi,1,E,1.6,0.88,7.95,1.28
17,abogado,1,Em1,NaN,NaN,NaN,NaN
17,asesino,0,E,2.03,1.27,7.6,1.73
17,cerebro,1,Em1,NaN,NaN,NaN,NaN
17,tumor,0,E,1.33,0.69,7.45,1.05
17,mu�eca,1,Em1,NaN,NaN,NaN,NaN
17,amputacion,1,E,2.1,1.17,7.1,1.45
17,rascacielos,1,Em1,NaN,NaN,NaN,NaN
17,suicida,0,E,2.15,1.39,7.65,1.04
17,campo,0,Em1,NaN,NaN,NaN,NaN
17,plaga,0,E,2.3,1.17,7,1.52
17,bote,0,Em1,NaN,NaN,NaN,NaN
17,morgue,1,E,2.9,1.95,6.17,1.93
17,concentraci�n,0,Em1,NaN,NaN,NaN,NaN
17,masacre,1,E,1.3,0.57,6.9,2.15
17,transferencia,1,Em1,NaN,NaN,NaN,NaN
17,sida,1,E,1.45,0.69,7.35,1.46
17,restaurante,0,Em1,NaN,NaN,NaN,NaN
17,hambruna,1,E,1.95,1.31,7.35,1.18
17,hombre,0,Em1,NaN,NaN,NaN,NaN
17,traidor,0,E,2.25,1.24,7.15,1.76
17,sol,1,Em1,NaN,NaN,NaN,NaN
17,cancer,0,E,1.23,0.73,7.8,1.24
17,resoluci�n,1,Em1,NaN,NaN,NaN,NaN
17,violacion,0,E,1.18,0.5,8.13,1.11
17,sensibilidad,1,Em1,NaN,NaN,NaN,NaN
17,sufrimiento,1,E,1.95,1.15,8.3,0.86
17,capitulo,0,Em1,NaN,NaN,NaN,NaN
17,crimen,0,E,2.15,1.17,7.9,1.17
17,estaci�n,1,Em1,NaN,NaN,NaN,NaN
17,terrorista,1,E,1.5,0.88,7.6,1.39
17,�ptica,0,Em1,NaN,NaN,NaN,NaN
17,ceguera,0,E,2.75,1.33,6.95,1.39
18,dep�sito,0,Em1,NaN,NaN,NaN,NaN
18,morgue,1,E,2.9,1.95,6.17,1.93
18,estaci�n,1,Em1,NaN,NaN,NaN,NaN
18,terrorista,1,E,1.5,0.88,7.6,1.39
18,muslo,1,Em1,NaN,NaN,NaN,NaN
18,amputacion,1,E,2.1,1.17,7.1,1.45
18,meditaci�n,1,Em1,NaN,NaN,NaN,NaN
18,tumor,1,E,1.33,0.69,7.45,1.05
18,brinco,0,Em1,NaN,NaN,NaN,NaN
18,suicida,1,E,2.15,1.39,7.65,1.04
18,pasaporte,1,Em1,NaN,NaN,NaN,NaN
18,nazi,0,E,1.6,0.88,7.95,1.28
18,soplo,0,Em1,NaN,NaN,NaN,NaN
18,asfixia,1,E,1.3,0.57,8,1.21
18,importaci�n,1,Em1,NaN,NaN,NaN,NaN
18,sida,1,E,1.45,0.69,7.35,1.46
18,ambiente,0,Em1,NaN,NaN,NaN,NaN
18,plaga,0,E,2.3,1.17,7,1.52
18,lupa,0,Em1,NaN,NaN,NaN,NaN
18,ceguera,1,E,2.75,1.33,6.95,1.39
18,resoluci�n,0,Em1,NaN,NaN,NaN,NaN
18,violacion,1,E,1.18,0.5,8.13,1.11
18,terciopelo,1,Em1,NaN,NaN,NaN,NaN
18,sufrimiento,1,E,1.95,1.15,8.3,0.86
18,persona,0,Em1,NaN,NaN,NaN,NaN
18,traidor,1,E,2.25,1.24,7.15,1.76
18,luz,1,Em1,NaN,NaN,NaN,NaN
18,cancer,1,E,1.23,0.73,7.8,1.24
18,grupo,1,Em1,NaN,NaN,NaN,NaN
18,masacre,1,E,1.3,0.57,6.9,2.15
18,texto,1,Em1,NaN,NaN,NaN,NaN
18,crimen,1,E,2.15,1.17,7.9,1.17
18,cena,1,Em1,NaN,NaN,NaN,NaN
18,hambruna,1,E,1.95,1.31,7.35,1.18
18,ocupaci�n,1,Em1,NaN,NaN,NaN,NaN
18,asesino,1,E,2.03,1.27,7.6,1.73
19,emisor,0,Em1,NaN,NaN,NaN,NaN
19,sida,0,E,1.45,0.69,7.35,1.46
19,congreso,0,Em1,NaN,NaN,NaN,NaN
19,masacre,0,E,1.3,0.57,6.9,2.15
19,oxigeno,0,Em1,NaN,NaN,NaN,NaN
19,asfixia,0,E,1.3,0.57,8,1.21
19,muslo,0,Em1,NaN,NaN,NaN,NaN
19,amputacion,1,E,2.1,1.17,7.1,1.45
19,cima,0,Em1,NaN,NaN,NaN,NaN
19,suicida,1,E,2.15,1.39,7.65,1.04
19,regla,0,Em1,NaN,NaN,NaN,NaN
19,violacion,1,E,1.18,0.5,8.13,1.11
19,contacto,0,Em1,NaN,NaN,NaN,NaN
19,sufrimiento,0,E,1.95,1.15,8.3,0.86
19,f�sico,0,Em1,NaN,NaN,NaN,NaN
19,asesino,1,E,2.03,1.27,7.6,1.73
19,mujer,1,Em1,NaN,NaN,NaN,NaN
19,traidor,1,E,2.25,1.24,7.15,1.76
19,escena,0,Em1,NaN,NaN,NaN,NaN
19,ceguera,0,E,2.75,1.33,6.95,1.39
19,protagonista,0,Em1,NaN,NaN,NaN,NaN
19,crimen,0,E,2.15,1.17,7.9,1.17
19,cr�neo,1,Em1,NaN,NaN,NaN,NaN
19,tumor,1,E,1.33,0.69,7.45,1.05
19,metro,1,Em1,NaN,NaN,NaN,NaN
19,terrorista,1,E,1.5,0.88,7.6,1.39
