oddballtype,relativerecall,SOA,subject
Emotional,0.7,6,70
Emotional,0.571428571428571,4,70
Emotional,0.714285714285714,3,70
Emotional,0.714285714285714,6,71
Emotional,1,3,71
Emotional,0.666666666666667,4,71
Emotional,0.666666666666667,3,71
Emotional,1,2,71
Emotional,1,2,71
Emotional,0.333333333333333,2,71
Emotional,0.833333333333333,6,71
Emotional,0.5,1,71
Emotional,0.166666666666667,3,71
Emotional,1,2,71
Emotional,0.333333333333333,1,71
Emotional,0.857142857142857,6,72
Emotional,0.888888888888889,6,72
Emotional,0.166666666666667,3,72
Emotional,0.6,2,72
Emotional,1,4,72
Emotional,1,3,72
Emotional,0.666666666666667,2,72
Emotional,0.75,4,72
Emotional,0.166666666666667,4,72
Emotional,0.833333333333333,3,72
Emotional,0.75,4,73
Emotional,0.625,2,73
Emotional,0.625,4,73
Emotional,0.4,2,73
Emotional,0.666666666666667,6,73
Emotional,0.8,3,73
Emotional,0.571428571428571,3,73
Emotional,0.428571428571429,1,73
Emotional,0.555555555555556,4,73
Emotional,0.666666666666667,4,74
Emotional,0.833333333333333,4,74
Emotional,1,1,74
Emotional,0.833333333333333,4,74
Emotional,0.8,6,75
Emotional,0.875,6,75
Emotional,0.0909090909090909,3,75
Emotional,0.714285714285714,3,75
Emotional,1,2,75
Emotional,0.6,2,75
Emotional,0.8,4,75
Emotional,0.8,1,75
Emotional,0.75,2,75
Emotional,0.7,6,75
Emotional,0.818181818181818,4,75
Perceptual,0.333333333333333,6,4
Perceptual,0.5,2,4
Perceptual,0.333333333333333,1,4
Perceptual,0.666666666666667,1,4
Perceptual,0.5,6,4
Perceptual,0.75,4,4
Perceptual,0.142857142857143,6,4
Perceptual,0.6,4,4
Perceptual,0.75,3,4
Perceptual,1,2,4
Perceptual,0.5,2,4
Perceptual,0.285714285714286,1,4
Perceptual,1,3,4
Perceptual,0.5,1,5
Perceptual,0.166666666666667,2,5
Perceptual,0.833333333333333,6,5
Perceptual,1,2,5
Perceptual,0.5,6,5
Perceptual,0.5,4,5
Perceptual,0.571428571428571,3,5
Perceptual,0.9,4,5
Perceptual,0.8,4,5
Perceptual,0.5,2,5
Perceptual,0.666666666666667,6,5
Perceptual,0.4,3,5
Perceptual,0.777777777777778,6,6
Perceptual,0.111111111111111,4,6
Perceptual,0.0909090909090909,4,6
Perceptual,0.111111111111111,4,6
Perceptual,0.923076923076923,3,6
Perceptual,0.4,2,6
Perceptual,0.777777777777778,3,6
Perceptual,1,6,6
Perceptual,0.666666666666667,2,6
Perceptual,0.454545454545455,4,6
Perceptual,1,1,6
Perceptual,0.666666666666667,2,7
Perceptual,1,4,7
Perceptual,1,2,7
Perceptual,0.75,3,7
Perceptual,0.888888888888889,1,7
Perceptual,1,4,7
Perceptual,0.428571428571429,1,7
Perceptual,0.8,6,7
Perceptual,0.5,3,7
Perceptual,0.7,4,7
Perceptual,0.363636363636364,4,9
Perceptual,0.857142857142857,3,9
Perceptual,0.181818181818182,4,9
Perceptual,0.166666666666667,2,9
Perceptual,0.5,2,9
Perceptual,0.25,1,9
Perceptual,0.909090909090909,3,9
Perceptual,0.8,4,9
Perceptual,0.166666666666667,2,9
Perceptual,0.5,6,9
Perceptual,0.8,3,9
Perceptual,0.5,1,9
Perceptual,0.833333333333333,1,9
Perceptual,0.75,2,10
Perceptual,0.545454545454545,6,10
Perceptual,1,3,10
Perceptual,0.5,1,10
Perceptual,0.333333333333333,2,10
Perceptual,0.125,2,10
Perceptual,1,3,10
Perceptual,0.3,6,10
Perceptual,0.666666666666667,3,10
Perceptual,0.25,1,10
Perceptual,0.833333333333333,6,10
Perceptual,0.142857142857143,2,11
Perceptual,0.75,4,11
Perceptual,0.625,4,11
Perceptual,0.75,1,11
Perceptual,0.333333333333333,3,11
Perceptual,0.9,6,11
Perceptual,0.777777777777778,2,11
Perceptual,1,6,11
Perceptual,0.416666666666667,6,11
Perceptual,1,4,11
Perceptual,0.666666666666667,3,11
Perceptual,1,2,11
Perceptual,1,3,11
Perceptual,0.1,1,11
Perceptual,0.909090909090909,3,11
Perceptual,1,4,11
Perceptual,0.4,1,12
Perceptual,0.285714285714286,3,12
Perceptual,0.5,4,12
Perceptual,0.8,6,12
Perceptual,0.428571428571429,1,12
Perceptual,0.0909090909090909,4,12
Perceptual,1,2,12
Perceptual,0.5,3,12
Perceptual,0.625,1,12
Perceptual,0.857142857142857,6,12
Perceptual,0.555555555555556,2,12
Perceptual,1,1,12
Perceptual,0.642857142857143,2,14
