subject,oddballtype,recall,sp,pfr
38,Emotional,remembered,10,0.181818181818182
39,Emotional,remembered,10,0
40,Emotional,remembered,10,0
41,Emotional,remembered,10,0
42,Emotional,remembered,10,0.0666666666666667
43,Emotional,remembered,10,0.0833333333333333
44,Emotional,remembered,10,0.125
45,Emotional,remembered,10,0.2
46,Emotional,remembered,10,0
47,Emotional,remembered,10,0.133333333333333
48,Emotional,remembered,10,0
49,Emotional,remembered,10,0.0714285714285714
50,Emotional,remembered,10,0.142857142857143
51,Emotional,remembered,10,0
52,Emotional,remembered,10,0
53,Emotional,remembered,10,0
54,Emotional,remembered,10,0.0588235294117647
55,Emotional,remembered,10,0.1
56,Emotional,remembered,10,0
57,Emotional,remembered,10,0.142857142857143
58,Emotional,remembered,10,0.0714285714285714
59,Emotional,remembered,10,0
60,Emotional,remembered,10,0.0769230769230769
61,Emotional,remembered,10,0.1
62,Emotional,remembered,10,0
63,Emotional,remembered,10,0
64,Emotional,remembered,10,0.0714285714285714
65,Emotional,remembered,10,0
66,Emotional,remembered,10,0.125
67,Emotional,remembered,10,0
68,Emotional,remembered,10,0.0769230769230769
69,Emotional,remembered,10,0.0666666666666667
70,Emotional,remembered,10,0.2
71,Emotional,remembered,10,0.0833333333333333
72,Emotional,remembered,10,0.1
73,Emotional,remembered,10,0
74,Emotional,remembered,10,0
75,Emotional,remembered,10,0
4,Emotional,remembered,11,0.111111111111111
5,Emotional,remembered,11,0.0833333333333333
6,Emotional,remembered,11,0
7,Emotional,remembered,11,0
9,Emotional,remembered,11,0
10,Emotional,remembered,11,0
11,Emotional,remembered,11,0
12,Emotional,remembered,11,0.0588235294117647
14,Emotional,remembered,11,0
15,Emotional,remembered,11,0.0625
16,Emotional,remembered,11,0
17,Emotional,remembered,11,0
18,Emotional,remembered,11,0
19,Emotional,remembered,11,0
20,Emotional,remembered,11,0
21,Emotional,remembered,11,0
22,Emotional,remembered,11,0.0769230769230769
23,Emotional,remembered,11,0
24,Emotional,remembered,11,0.363636363636364
25,Emotional,remembered,11,0
26,Emotional,remembered,11,0
27,Emotional,remembered,11,0.0666666666666667
28,Emotional,remembered,11,0.0833333333333333
29,Emotional,remembered,11,0.0625
30,Emotional,remembered,11,0
31,Emotional,remembered,11,0.133333333333333
32,Emotional,remembered,11,0
33,Emotional,remembered,11,0.0666666666666667
34,Emotional,remembered,11,0.0714285714285714
35,Emotional,remembered,11,0.0714285714285714
36,Emotional,remembered,11,0.153846153846154
37,Emotional,remembered,11,0.0714285714285714
