oddballtype,relativerecall,SOA,subject
Perceptual,0.83333,2,68
Perceptual,0.63095,3,68
Perceptual,0.8125,4,68
Perceptual,0.57272,6,68
Emotional,0.6,1,69
Emotional,0.75926,2,69
Emotional,0.75487,3,69
Emotional,0.70303,4,69
Emotional,0.80556,6,69
Perceptual,0.91667,1,69
Perceptual,0.3718,2,69
Perceptual,0.42677,3,69
Perceptual,0.66667,4,69
Perceptual,0.55,6,69
Emotional,0.61112,1,7
Emotional,0.39682,2,7
Emotional,0.75,3,7
Emotional,0.7,4,7
Emotional,,6,7
Perceptual,0.65873,1,7
Perceptual,0.83333,2,7
Perceptual,0.625,3,7
Perceptual,0.9,4,7
Perceptual,0.8,6,7
Emotional,0.2,1,70
Emotional,0.5,2,70
Emotional,0.85715,3,70
Emotional,0.56825,4,70
Emotional,0.83939,6,70
Perceptual,0.4,1,70
Perceptual,0.48889,2,70
Perceptual,0.67778,3,70
Perceptual,1,4,70
Perceptual,0.56666,6,70
Emotional,0.41667,1,71
Emotional,0.83333,2,71
Emotional,0.61111,3,71
Emotional,0.66667,4,71
Emotional,0.77381,6,71
Perceptual,0.33333,1,71
Perceptual,0.68254,2,71
Perceptual,1,3,71
Perceptual,0.87222,4,71
Perceptual,0.77778,6,71
Emotional,,1,72
Emotional,0.63333,2,72
Emotional,0.66667,3,72
Emotional,0.63889,4,72
Emotional,0.87301,6,72
Perceptual,0.625,1,72
Perceptual,0.4,2,72
Perceptual,0.43333,3,72
Perceptual,0.85,4,72
Perceptual,0.64941,6,72
Emotional,0.42857,1,73
Emotional,0.5125,2,73
Emotional,0.68572,3,73
Emotional,0.64352,4,73
Emotional,0.66667,6,73
Perceptual,0.5625,1,73
Perceptual,0.81746,2,73
Perceptual,0.87063,3,73
Perceptual,0.57212,4,73
Perceptual,0.65741,6,73
Emotional,1,1,74
Emotional,,2,74
Emotional,,3,74
Emotional,0.77778,4,74
Emotional,,6,74
Perceptual,,1,74
Perceptual,0.85714,2,74
Perceptual,0.71905,3,74
Perceptual,0.53175,4,74
Perceptual,0.69792,6,74
Emotional,0.8,1,75
Emotional,0.78333,2,75
Emotional,0.4026,3,75
Emotional,0.80909,4,75
Emotional,0.79167,6,75
Perceptual,0.59259,1,75
Perceptual,0.59596,2,75
Perceptual,0.7,3,75
Perceptual,1,4,75
Perceptual,0.62553,6,75
Emotional,0.89682,1,9
Emotional,0.18334,2,9
Emotional,0.7,3,9
Emotional,0.85764,4,9
Emotional,0.5291,6,9
Perceptual,0.52778,1,9
Perceptual,0.27778,2,9
Perceptual,0.85541,3,9
Perceptual,0.44849,4,9
Perceptual,0.5,6,9
